SESSION_ID,CREATED_ON,USER_NAME,AUTHENTICATION_METHOD,LOGIN_EVENT_ID,CLIENT_APPLICATION_VERSION,CLIENT_APPLICATION_ID,CLIENT_ENVIRONMENT,CLIENT_BUILD_ID,CLIENT_VERSION
19008919675587362,2021-09-28 06:12:28.900 -0700,RBAC_AUTOMATION,Password,19008919662607174,1.6.0,Go 1.6.0,"{""APPLICATION"":""Go"",""OS"":""linux"",""OS_VERSION"":""gc-amd64"",""OCSP_MODE"":""FAIL_OPEN""}",,0
19008919718979466,2021-09-20 10:23:40.998 -0700,SXT0505A,Fed SAML 2.0,19008919662565470,20210920122340,Snowflake UI 20210920122340,"{""BROWSER_VERSION"":""Chrome 93.0.4577.82"",""OS_VERSION"":""Windows 10""}",0,0
19008919675905298,2021-10-01 07:15:22.715 -0700,SXN0321,OAuth,19008919662625058,2.22.2,ODBC 2.22.2,"{""APPLICATION"":""CProgramFilesMicrosoftPowerBIDesktopbinMicrosoftMa"",""LOG_LEVEL"":""0"",""OCSP_MODE"":""FAIL_OPEN"",""OS"":""Windows"",""OS_VERSION"":""6.2-x86_64""}",0,0
19008919675576330,2021-09-27 11:14:14.267 -0700,SXN0321,OAuth,19008919662605830,2.22.2,ODBC 2.22.2,"{""APPLICATION"":""DMWCWorkloadPackagesAS20219224validMDataEngineMicr"",""LOG_LEVEL"":""0"",""OCSP_MODE"":""FAIL_OPEN"",""OS"":""Windows"",""OS_VERSION"":""6.2-x86_64""}",0,0
19008919697778782,2021-09-27 07:59:16.092 -0700,SXN0321,OAuth,19008919662599886,2.22.2,ODBC 2.22.2,"{""APPLICATION"":""DMWCWorkloadPackagesAS20219224validMDataEngineMicr"",""LOG_LEVEL"":""0"",""OCSP_MODE"":""FAIL_OPEN"",""OS"":""Windows"",""OS_VERSION"":""6.2-x86_64""}",0,0
19008919674386330,2021-09-15 06:20:48.746 -0700,SXN0321,OAuth,19008919662546574,2.22.2,ODBC 2.22.2,"{""APPLICATION"":""DMWCWorkloadPackagesAS20218518validMDataEngineMicr"",""LOG_LEVEL"":""0"",""OCSP_MODE"":""FAIL_OPEN"",""OS"":""Windows"",""OS_VERSION"":""6.2-x86_64""}",0,0
19008919674425626,2021-09-15 11:19:16.990 -0700,SXN0321,OAuth,19008919662548410,2.22.2,ODBC 2.22.2,"{""APPLICATION"":""DMWCWorkloadPackagesAS20218518validMDataEngineMicr"",""LOG_LEVEL"":""0"",""OCSP_MODE"":""FAIL_OPEN"",""OS"":""Windows"",""OS_VERSION"":""6.2-x86_64""}",0,0
19008919675519666,2021-09-27 08:40:47.553 -0700,SXN0321,OAuth,19008919662598942,2.22.2,ODBC 2.22.2,"{""APPLICATION"":""DMWCWorkloadPackagesAS20219224validMDataEngineMicr"",""LOG_LEVEL"":""0"",""OCSP_MODE"":""FAIL_OPEN"",""OS"":""Windows"",""OS_VERSION"":""6.2-x86_64""}",0,0
19008919675886646,2021-10-01 06:24:10.957 -0700,SXN0321,OAuth,19008919662624198,2.22.2,ODBC 2.22.2,"{""APPLICATION"":""CProgramFilesMicrosoftPowerBIDesktopbinMicrosoftMa"",""LOG_LEVEL"":""0"",""OCSP_MODE"":""FAIL_OPEN"",""OS"":""Windows"",""OS_VERSION"":""6.2-x86_64""}",0,0
19008919675850134,2021-10-01 01:07:26.613 -0700,SXN0321,OAuth,19008919662621946,2.22.2,ODBC 2.22.2,"{""APPLICATION"":""CProgramFilesMicrosoftPowerBIDesktopbinMicrosoftMa"",""LOG_LEVEL"":""0"",""OCSP_MODE"":""FAIL_OPEN"",""OS"":""Windows"",""OS_VERSION"":""6.2-x86_64""}",0,0
