TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_OWNER,TABLE_TYPE,IS_TRANSIENT,CLUSTERING_KEY,ROW_COUNT,BYTES,RETENTION_TIME,SELF_REFERENCING_COLUMN_NAME,REFERENCE_GENERATION,USER_DEFINED_TYPE_CATALOG,USER_DEFINED_TYPE_SCHEMA,USER_DEFINED_TYPE_NAME,IS_INSERTABLE_INTO,IS_TYPED,COMMIT_ACTION,CREATED,LAST_ALTERED,AUTO_CLUSTERING_ON,COMMENT
DEV_RAW,AMAZONPOS,FORECASTANDINVENTORYPLANNINGUS,DEV_RAWBUILD_RW,BASE TABLE,NO,,1822375,372454400,1,,,,,,YES,YES,,2022-05-17 09:02:11.165 -0700,2022-05-24 09:02:35.177 -0700,NO,
DEV_RAW,AMAZONPOS,FORECASTANDINVENTORYPLANNINGUS_CHANGES,DEV_RAWBUILD_RW,BASE TABLE,NO,,2726861,500580864,1,,,,,,YES,YES,,2022-05-17 09:02:11.087 -0700,2022-05-21 09:02:16.138 -0700,NO,
DEV_RAW,AMAZONPOS,FORECASTANDINVENTORYPLANNINGUS_HISTORY,DEV_RAWBUILD_RW,BASE TABLE,NO,"LINEAR(LEFT(TRIM(EVENTDTS),8))",2738433,495214592,1,,,,,,YES,YES,,2022-05-17 09:02:10.908 -0700,2022-05-22 09:56:25.731 -0700,YES,
DEV_RAW,AMAZONPOS,FORECASTANDINVENTORYPLANNINGUS_HISTORY_BKP,DEV_MARTBUILD_RW,BASE TABLE,NO,"LINEAR(LEFT(TRIM(EVENTDTS),8))",721804,143421440,1,,,,,,YES,YES,,2022-05-06 08:29:44.960 -0700,2022-05-06 09:56:32.487 -0700,YES,
DEV_RAW,AMAZONPOS,FORECASTANDINVENTORYPLANNINGUS_HIVE_COPY,DEV_RAWBUILD_RW,BASE TABLE,NO,,0,0,1,,,,,,YES,YES,,2022-05-02 05:57:12.722 -0700,2022-05-02 05:57:12.845 -0700,NO,
DEV_RAW,AMAZONPOS,FORECASTANDINVENTORYPLANNINGUS_LANDING,DEV_RAWBUILD_RW,BASE TABLE,NO,"LINEAR(LOADDTS, REC_SRC)",2738433,400878080,1,,,,,,YES,YES,,2022-05-17 09:01:17.307 -0700,2022-05-24 09:01:47.316 -0700,YES,
DEV_RAW,AMAZONPOS,FORECASTANDINVENTORYPLANNINGUS_LANDING_COPY,DEV_RAWBUILD_RW,BASE TABLE,NO,"LINEAR(LOADDTS, filename)",2738433,294842880,1,,,,,,YES,YES,,2022-05-17 09:01:11.071 -0700,2022-05-24 09:01:45.337 -0700,YES,
DEV_RAW,AMAZONPOS,FORECASTANDINVENTORYPLANNINGUS_QUARANTINE,DEV_RAWBUILD_RW,BASE TABLE,YES,,0,0,1,,,,,,YES,YES,,2022-05-17 09:01:30.403 -0700,2022-05-17 09:01:53.824 -0700,NO,
DEV_RAW,AMAZONPOS,FORECASTANDINVENTORYPLANNINGUS_VALIDATED,DEV_RAWBUILD_RW,BASE TABLE,YES,,2738433,502433280,1,,,,,,YES,YES,,2022-05-17 09:01:54.743 -0700,2022-05-22 09:01:59.054 -0700,NO,
DEV_RAW,AMAZONPOS,INVENTORYHEALTHUS,DEV_RAWBUILD_RW,BASE TABLE,NO,,1860828,170096640,1,,,,,,YES,YES,,2022-05-17 09:01:33.528 -0700,2022-05-24 09:02:29.108 -0700,NO,
DEV_RAW,AMAZONPOS,INVENTORYHEALTHUS_CHANGES,DEV_RAWBUILD_RW,BASE TABLE,NO,,2281248,356239360,1,,,,,,YES,YES,,2022-05-17 09:01:37.128 -0700,2022-05-24 09:02:20.751 -0700,NO,
DEV_RAW,AMAZONPOS,INVENTORYHEALTHUS_HISTORY,DEV_RAWBUILD_RW,BASE TABLE,NO,"LINEAR(LEFT(TRIM(EVENTDTS),8))",2281248,154050048,1,,,,,,YES,YES,,2022-05-17 09:01:37.907 -0700,2022-05-24 09:02:18.445 -0700,YES,
DEV_RAW,AMAZONPOS,INVENTORYHEALTHUS_HISTORY_BKP,DEV_MARTBUILD_RW,BASE TABLE,NO,"LINEAR(LEFT(TRIM(EVENTDTS),8))",584839,69799424,1,,,,,,YES,YES,,2022-05-06 08:36:52.809 -0700,2022-05-06 10:03:22.840 -0700,YES,
DEV_RAW,AMAZONPOS,INVENTORYHEALTHUS_HIVE_COPY,DEV_RAWBUILD_RW,BASE TABLE,NO,,4124626,272441856,1,,,,,,YES,YES,,2022-04-30 09:40:14.533 -0700,2022-04-30 09:40:30.291 -0700,NO,
DEV_RAW,AMAZONPOS,INVENTORYHEALTHUS_LANDING,DEV_RAWBUILD_RW,BASE TABLE,NO,"LINEAR(LOADDTS, REC_SRC)",2281248,180613120,1,,,,,,YES,YES,,2022-05-17 09:01:14.055 -0700,2022-05-24 09:58:01.494 -0700,YES,
DEV_RAW,AMAZONPOS,INVENTORYHEALTHUS_LANDING_COPY,DEV_RAWBUILD_RW,BASE TABLE,NO,"LINEAR(LOADDTS, filename)",2281248,212246528,1,,,,,,YES,YES,,2022-05-17 09:01:10.846 -0700,2022-05-24 09:01:46.873 -0700,YES,
